unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1789919511.6562836,12776374272,100,327000000,65000,7793647616
1789919512.6569543,12776415232,100,326000000,65000,7795175424
1789919513.6578188,12776415232,100,326000000,65000,7795175424
1789919514.6584866,12776415232,100,327000000,65000,7795175424
1789919515.7158842,12776415232,99,326000000,65000,7795179520
1789919517.0419388,12776415232,51,201000000,64000,7795179520
1789919518.042599,12776435712,100,323000000,64000,7795560448
1789919519.0430546,12776468480,99,325000000,65000,7796166656
1789919520.0438917,12776468480,100,326000000,65000,7796166656
1789919521.0445597,12776468480,99,323000000,65000,7796166656
1789919522.0452068,12776468480,100,327000000,65000,7796166656
1789919523.0458133,12776468480,99,323000000,65000,7796166656
1789919524.046336,12776521728,100,326000000,65000,7798685696
1789919525.046757,12776521728,100,326000000,65000,7798685696
1789919526.0472145,12776554496,100,327000000,65000,7799078912
1789919527.0478005,12776554496,100,327000000,65000,7799078912
1789919528.048335,12776554496,99,325000000,65000,7799078912
1789919529.049181,12776554496,100,324000000,65000,7799078912
1789919530.0498745,12776554496,100,326000000,65000,7799078912
1789919531.0503857,12776554496,99,324000000,65000,7799078912
1789919532.0511754,12776615936,75,260000000,64000,7806353408
1789919533.0517983,12776615936,100,326000000,65000,7806353408
1789919534.052451,12776615936,100,326000000,65000,7806353408
1789919535.053043,12776615936,99,325000000,65000,7806353408
1789919536.0536697,12776615936,100,326000000,65000,7806353408
1789919537.0541334,12776615936,100,326000000,65000,7806353408
1789919538.0549731,12776615936,100,326000000,65000,7806357504
1789919539.0601091,12776628224,100,327000000,65000,7806447616
1789919540.0606065,12776669184,100,326000000,65000,7807332352
1789919541.0614145,12776669184,100,326000000,65000,7807332352
1789919542.0621836,12776669184,99,323000000,65000,7807332352
1789919543.0625687,12776669184,100,321000000,65000,7807332352
1789919544.063255,12776669184,99,325000000,65000,7807332352
1789919545.063954,12776665088,100,326000000,66000,7807332352
1789919546.0645685,12776665088,100,327000000,66000,7807332352
1789919547.065075,12776665088,100,326000000,66000,7807332352
1789919548.0658662,12776685568,99,324000000,66000,7807352832
1789919549.0666783,12776738816,100,328000000,66000,7807926272
1789919550.0674865,12776738816,100,325000000,66000,7807926272
1789919551.0764368,12776738816,99,325000000,66000,7807950848
1789919552.077173,12776759296,100,327000000,66000,7808466944
1789919553.0777209,12776759296,100,327000000,66000,7808466944
1789919554.0781841,12776779776,100,325000000,66000,7809069056
1789919555.078909,12776779776,100,326000000,66000,7809069056
1789919556.0794353,12776779776,100,327000000,66000,7809069056
1789919557.080198,12776779776,100,326000000,66000,7809069056
1789919558.080703,12776779776,100,326000000,66000,7809069056
1789919559.0812626,12776820736,99,321000000,66000,7810236416
1789919560.0818665,12776820736,100,325000000,66000,7810236416
1789919561.0822291,12776873984,99,326000000,65000,7811219456
1789919562.0833418,12776886272,100,326000000,65000,7811670016
1789919563.0839856,12776906752,100,326000000,66000,7813337088
1789919564.084483,12776906752,100,327000000,65000,7813341184
1789919565.0852904,12776906752,100,326000000,65000,7813341184
1789919566.0858648,12776906752,100,327000000,65000,7813341184
1789919567.0864763,12776939520,99,325000000,65000,7813459968
1789919568.087211,12776939520,100,327000000,65000,7813459968
1789919569.087848,12776939520,100,325000000,65000,7813459968
1789919570.0885167,12776960000,99,321000000,65000,7814156288
1789919571.089009,12776960000,100,325000000,65000,7814160384
1789919572.15718,12776960000,99,325000000,65000,7814160384
1789919573.1578429,12776972288,100,326000000,65000,7814598656
1789919574.1585972,12776992768,100,325000000,65000,7815491584
1789919575.1593084,12776992768,99,325000000,65000,7815495680
1789919576.1597822,12776992768,100,326000000,65000,7815495680
1789919577.1603231,12777005056,99,325000000,65000,7815516160
1789919578.4422061,12777005056,51,201000000,64000,7815516160
1789919579.4426146,12777025536,100,328000000,65000,7816060928
1789919580.4430127,12777025536,100,326000000,65000,7816060928
1789919581.4438088,12777025536,100,326000000,65000,7816060928
1789919582.4442432,12777025536,100,327000000,65000,7816060928
1789919583.4445581,12777025536,99,326000000,65000,7816060928
1789919584.4448762,12777029632,100,326000000,65000,7816060928
1789919585.4453998,12777029632,100,327000000,65000,7816060928
1789919586.446576,12777095168,99,322000000,65000,7816130560
1789919587.447238,12777095168,99,322000000,65000,7816130560
1789919588.4476728,12777095168,100,326000000,65000,7816130560
1789919589.4482362,12777095168,100,326000000,65000,7816130560
1789919590.448785,12777115648,100,321000000,65000,7816151040
1789919591.4491885,12777115648,99,322000000,65000,7816151040
1789919592.449828,12777115648,100,325000000,65000,7816151040
1789919593.450315,12777115648,99,322000000,65000,7816151040
1789919594.4512508,12777115648,100,325000000,65000,7816151040
1789919595.4520552,12777115648,99,321000000,65000,7816151040
1789919596.452658,12777115648,100,326000000,65000,7816151040
1789919597.453004,12777148416,100,327000000,65000,7816187904
1789919598.4534073,12777148416,100,326000000,66000,7816187904
1789919599.4541533,12777148416,99,324000000,65000,7816187904
1789919600.455147,12777148416,100,327000000,65000,7816187904
1789919601.4556463,12777148416,100,326000000,65000,7816187904
1789919602.4560714,12777148416,99,326000000,65000,7816187904
1789919603.4564931,12777148416,100,325000000,65000,7816187904
1789919604.4569597,12777201664,99,326000000,66000,7817523200
1789919605.4576466,12777201664,100,325000000,65000,7817523200
1789919606.4582155,12777201664,100,326000000,65000,7817523200
1789919607.458808,12777201664,99,325000000,65000,7817523200
1789919608.4591339,12777201664,100,324000000,66000,7817523200
1789919609.4595327,12777201664,100,326000000,66000,7817523200
1789919610.4599707,12777222144,99,324000000,65000,7817543680
1789919611.460423,12777222144,99,325000000,66000,7817543680
1789919612.4608023,12777222144,100,326000000,66000,7817547776
1789919613.461345,12777222144,99,326000000,66000,7817547776
1789919614.4620552,12777222144,100,326000000,66000,7817547776
1789919615.4625401,12777222144,100,326000000,66000,7817547776
1789919616.4629428,12777222144,100,326000000,66000,7817547776
1789919617.4634233,12777234432,100,327000000,66000,7817752576
1789919618.46378,12777254912,100,327000000,66000,7818452992
1789919619.4644525,12777254912,100,327000000,66000,7818452992
1789919620.4649546,12777254912,100,326000000,66000,7818452992
1789919621.4653137,12777275392,99,325000000,66000,7818477568
1789919622.4657652,12777275392,99,324000000,66000,7818477568
1789919623.4664476,12777275392,100,326000000,66000,7818477568
1789919624.467125,12777295872,99,317000000,65000,7819141120
1789919625.4676785,12777328640,100,326000000,65000,7820058624
1789919626.4683914,12777328640,100,327000000,66000,7820058624
1789919627.4691122,12777332736,100,326000000,66000,7820058624
1789919628.4698346,12777332736,100,326000000,66000,7820062720
1789919629.4704514,12777332736,100,326000000,66000,7820062720
1789919630.4708955,12777332736,99,325000000,65000,7820062720
1789919631.4713168,12777332736,100,324000000,65000,7820066816
1789919632.4717283,12777328640,100,326000000,65000,7820066816
1789919633.47219,12777332736,99,319000000,65000,7820066816
1789919634.472908,12777328640,99,325000000,65000,7820066816
1789919635.4732697,12777328640,100,323000000,65000,7820066816
1789919636.4738731,12777328640,47,192000000,63000,7820066816
1789919637.4743073,12777349120,100,329000000,65000,7820423168
1789919638.474661,12777349120,100,326000000,65000,7820423168
1789919639.4749599,12777349120,100,328000000,65000,7820423168
1789919640.475374,12777381888,100,325000000,65000,7821135872
1789919641.4759147,12777381888,100,327000000,65000,7821135872
1789919642.4765415,12777381888,100,326000000,65000,7821135872
1789919643.4768577,12777402368,93,299000000,65000,7829409792
1789919644.4774384,12777455616,100,328000000,65000,7830642688
1789919645.4779515,12777455616,100,326000000,65000,7830642688
1789919646.47855,12777476096,100,327000000,65000,7831293952
1789919647.4790955,12777476096,99,325000000,65000,7831293952
1789919648.4798715,12777492480,100,326000000,65000,7832039424
1789919649.48058,12777492480,100,327000000,65000,7832039424
1789919650.48134,12777492480,100,327000000,65000,7832039424
1789919651.4819527,12777492480,100,327000000,65000,7832039424
1789919652.4825253,12777492480,100,326000000,65000,7832039424
1789919653.4833794,12777492480,99,326000000,65000,7832043520
1789919654.4840522,12777492480,100,326000000,65000,7832043520
1789919655.4847543,12777512960,99,322000000,65000,7832625152
1789919656.485139,12777512960,100,327000000,65000,7832625152
1789919657.4856675,12777517056,100,326000000,65000,7832625152
1789919658.4862235,12777517056,100,327000000,65000,7832625152
1789919659.4867322,12777537536,99,322000000,65000,7833247744
1789919660.4872136,12777537536,100,325000000,65000,7833247744
1789919661.4877567,12777558016,100,326000000,65000,7833272320
1789919662.4884253,12777558016,100,328000000,65000,7833272320
1789919663.488925,12777558016,100,325000000,65000,7833272320
1789919664.4897633,12777558016,100,325000000,65000,7833272320
1789919665.4905057,12777558016,99,326000000,65000,7833272320
1789919666.4909763,12777623552,100,326000000,65000,7833346048
1789919667.4919295,12777623552,99,324000000,65000,7833346048
1789919668.4926555,12777656320,100,327000000,65000,7833391104
1789919669.4932592,12777656320,100,326000000,65000,7833391104
1789919670.4940786,12777656320,100,328000000,65000,7833391104
1789919671.4948645,12777656320,100,325000000,65000,7833391104
1789919672.4953365,12777656320,99,325000000,65000,7833391104
1789919673.4960542,12777656320,100,326000000,65000,7833391104
1789919674.4966598,12777656320,100,326000000,65000,7833391104
1789919675.4972422,12777656320,99,326000000,65000,7833391104
1789919676.4977608,12777656320,100,327000000,65000,7833391104
1789919677.498605,12777656320,100,326000000,65000,7833391104
1789919678.4991217,12777656320,100,321000000,65000,7833395200
1789919679.4995658,12777656320,99,322000000,65000,7833399296
1789919680.5000389,12777656320,100,326000000,65000,7833399296
1789919681.5006456,12777656320,100,326000000,65000,7833399296
1789919682.5011241,12777676800,99,322000000,65000,7836016640
1789919683.5017872,12777676800,99,322000000,65000,7836020736
1789919684.502252,12777697280,100,327000000,65000,7836946432
1789919685.5027792,12777697280,100,326000000,65000,7836946432
1789919686.5033548,12777697280,100,327000000,65000,7836946432
1789919687.5037236,12777709568,100,323000000,65000,7837319168
1789919688.504351,12777730048,99,322000000,65000,7837675520
1789919689.5056548,12777730048,99,323000000,65000,7837675520
1789919690.5062587,12777730048,100,327000000,65000,7837679616
1789919691.50677,12777730048,100,325000000,65000,7837679616
1789919692.5076256,12777730048,100,327000000,65000,7837679616
1789919693.508306,12777750528,99,325000000,65000,7837704192
1789919694.508797,12777750528,100,326000000,65000,7837704192
1789919695.5094535,12777803776,99,325000000,65000,7837765632
1789919696.5100846,12777803776,100,326000000,65000,7837769728
1789919697.5105426,12777857024,100,325000000,65000,7837835264
1789919698.5109594,12777857024,100,324000000,65000,7837839360
1789919699.5116365,12777889792,99,326000000,65000,7838265344
1789919700.512204,12777910272,100,326000000,65000,7841046528
1789919701.513137,12777910272,99,319000000,65000,7841054720
1789919702.5136478,12777910272,100,326000000,65000,7841054720
1789919703.5141082,12777943040,99,325000000,65000,7841599488
1789919704.5148113,12777943040,100,326000000,65000,7841673216
1789919705.9742973,12777943040,55,212000000,64000,7841673216
1789919706.974897,12777943040,100,330000000,65000,7841673216
1789919707.97553,12777943040,99,321000000,65000,7841673216
1789919708.9760673,12777943040,100,327000000,65000,7841673216
1789919709.9765496,12777967616,99,325000000,65000,7841693696
