run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,clevr_count,uncalibrated,3600,0.26666666666666666,0.3333333333333333,92,0.31111256432366247,0.30434782608695654
seed-42,clevr_count,uncalibrated,3600,0.3333333333333333,0.4,419,0.3738449999907896,0.3341288782816229
seed-42,clevr_count,uncalibrated,3600,0.4,0.4666666666666667,780,0.43598883036605074,0.38461538461538464
seed-42,clevr_count,uncalibrated,3600,0.4666666666666667,0.5333333333333333,1458,0.5014497239572316,0.4547325102880658
seed-42,clevr_count,uncalibrated,3600,0.5333333333333333,0.6,1606,0.5665506725434204,0.50186799501868
seed-42,clevr_count,uncalibrated,3600,0.6,0.6666666666666666,1559,0.6335734599961904,0.5561257216164208
seed-42,clevr_count,uncalibrated,3600,0.6666666666666666,0.7333333333333333,1500,0.7010595442520752,0.636
seed-42,clevr_count,uncalibrated,3600,0.7333333333333333,0.8,1512,0.766893242866049,0.6335978835978836
seed-42,clevr_count,uncalibrated,3600,0.8,0.8666666666666667,1712,0.8340891816358139,0.7137850467289719
seed-42,clevr_count,uncalibrated,3600,0.8666666666666667,0.9333333333333333,2545,0.9023731813215377,0.7933202357563851
seed-42,clevr_count,uncalibrated,3600,0.9333333333333333,1.0,22228,0.9896847115636239,0.9725571351448623
seed-42,clevr_exist,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,clevr_exist,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,clevr_exist,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,clevr_exist,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,clevr_exist,uncalibrated,3600,0.26666666666666666,0.3333333333333333,0,,
seed-42,clevr_exist,uncalibrated,3600,0.3333333333333333,0.4,0,,
seed-42,clevr_exist,uncalibrated,3600,0.4,0.4666666666666667,0,,
seed-42,clevr_exist,uncalibrated,3600,0.4666666666666667,0.5333333333333333,8,0.5180020625005352,0.375
seed-42,clevr_exist,uncalibrated,3600,0.5333333333333333,0.6,13,0.5663388901705151,0.5384615384615384
seed-42,clevr_exist,uncalibrated,3600,0.6,0.6666666666666666,9,0.6258279608075042,0.7777777777777778
seed-42,clevr_exist,uncalibrated,3600,0.6666666666666666,0.7333333333333333,22,0.6965192527361946,0.2727272727272727
seed-42,clevr_exist,uncalibrated,3600,0.7333333333333333,0.8,12,0.7677412616997424,0.4166666666666667
seed-42,clevr_exist,uncalibrated,3600,0.8,0.8666666666666667,21,0.8354273482973666,0.47619047619047616
seed-42,clevr_exist,uncalibrated,3600,0.8666666666666667,0.9333333333333333,42,0.9020134933345985,0.47619047619047616
seed-42,clevr_exist,uncalibrated,3600,0.9333333333333333,1.0,20069,0.9998386168296871,0.9772285614629528
seed-42,contract_nli,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,contract_nli,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,contract_nli,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,contract_nli,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,contract_nli,uncalibrated,3600,0.26666666666666666,0.3333333333333333,0,,
seed-42,contract_nli,uncalibrated,3600,0.3333333333333333,0.4,6,0.3838283651117685,0.16666666666666666
seed-42,contract_nli,uncalibrated,3600,0.4,0.4666666666666667,13,0.44379555770348306,0.3076923076923077
seed-42,contract_nli,uncalibrated,3600,0.4666666666666667,0.5333333333333333,41,0.5005898960342225,0.5853658536585366
seed-42,contract_nli,uncalibrated,3600,0.5333333333333333,0.6,52,0.5664885420314321,0.5961538461538461
seed-42,contract_nli,uncalibrated,3600,0.6,0.6666666666666666,39,0.6305765456472814,0.5641025641025641
seed-42,contract_nli,uncalibrated,3600,0.6666666666666666,0.7333333333333333,61,0.7024518258754084,0.7049180327868853
seed-42,contract_nli,uncalibrated,3600,0.7333333333333333,0.8,76,0.7669677921141008,0.631578947368421
seed-42,contract_nli,uncalibrated,3600,0.8,0.8666666666666667,90,0.8393717275965167,0.6555555555555556
seed-42,contract_nli,uncalibrated,3600,0.8666666666666667,0.9333333333333333,138,0.9034531148237139,0.7391304347826086
seed-42,contract_nli,uncalibrated,3600,0.9333333333333333,1.0,657,0.9846198956379225,0.9467275494672754
seed-42,emotion,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,emotion,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,emotion,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,emotion,uncalibrated,3600,0.2,0.26666666666666666,2,0.2509935230824298,0.5
seed-42,emotion,uncalibrated,3600,0.26666666666666666,0.3333333333333333,8,0.31469648993705507,0.625
seed-42,emotion,uncalibrated,3600,0.3333333333333333,0.4,28,0.3763781599139226,0.42857142857142855
seed-42,emotion,uncalibrated,3600,0.4,0.4666666666666667,48,0.43529999512332457,0.3541666666666667
seed-42,emotion,uncalibrated,3600,0.4666666666666667,0.5333333333333333,83,0.5021961609001702,0.4939759036144578
seed-42,emotion,uncalibrated,3600,0.5333333333333333,0.6,122,0.5650478871778726,0.48360655737704916
seed-42,emotion,uncalibrated,3600,0.6,0.6666666666666666,106,0.6323632771040985,0.6037735849056604
seed-42,emotion,uncalibrated,3600,0.6666666666666666,0.7333333333333333,116,0.7000847546816975,0.5344827586206896
seed-42,emotion,uncalibrated,3600,0.7333333333333333,0.8,116,0.7677933606473748,0.646551724137931
seed-42,emotion,uncalibrated,3600,0.8,0.8666666666666667,137,0.833139040482785,0.7007299270072993
seed-42,emotion,uncalibrated,3600,0.8666666666666667,0.9333333333333333,225,0.903344281361679,0.7333333333333333
seed-42,emotion,uncalibrated,3600,0.9333333333333333,1.0,1009,0.9803552974982401,0.9236868186323092
seed-42,esci_es,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,esci_es,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,esci_es,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,esci_es,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,esci_es,uncalibrated,3600,0.26666666666666666,0.3333333333333333,49,0.3163353326990847,0.24489795918367346
seed-42,esci_es,uncalibrated,3600,0.3333333333333333,0.4,170,0.3713408718134452,0.37058823529411766
seed-42,esci_es,uncalibrated,3600,0.4,0.4666666666666667,236,0.4354293012288877,0.4449152542372881
seed-42,esci_es,uncalibrated,3600,0.4666666666666667,0.5333333333333333,280,0.49941997113089637,0.525
seed-42,esci_es,uncalibrated,3600,0.5333333333333333,0.6,235,0.5648642921915089,0.574468085106383
seed-42,esci_es,uncalibrated,3600,0.6,0.6666666666666666,164,0.6320654762774015,0.6646341463414634
seed-42,esci_es,uncalibrated,3600,0.6666666666666666,0.7333333333333333,128,0.6973367917568672,0.6484375
seed-42,esci_es,uncalibrated,3600,0.7333333333333333,0.8,100,0.7675856958439133,0.72
