engine,case,questions,repeat,end_to_end_ms,input_shape,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib,device_free_gib,device_total_gib,telemetry_board_vram_bytes_max,telemetry_board_vram_bytes_mean,telemetry_gpu_busy_percent_max,telemetry_gpu_busy_percent_mean,telemetry_power_microwatts_max,telemetry_power_microwatts_mean,telemetry_rss_bytes_max,telemetry_rss_bytes_mean,telemetry_temperature_millidegrees_max,telemetry_temperature_millidegrees_mean
dohnuts,vision_protocol_text_3q,3,16,15.89262398192659,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,17,16.071192017989233,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,18,16.093434009235352,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,19,16.014243999961764,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_image_1q,1,0,24.57397198304534,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,1,24.292098998557776,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,2,24.652289983350784,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,3,24.42955900914967,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,4,24.332033994141966,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,5,24.49593399069272,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,6,24.430860998108983,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,7,24.27831300883554,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,8,24.217336991569027,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,9,24.489962990628555,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,10,24.17164100916125,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,11,24.53143202001229,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,12,24.470837000990286,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,13,24.306475999765098,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,14,24.393250001594424,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,15,24.37224000459537,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,16,24.351200001547113,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,17,24.721100984606892,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
dohnuts,vision_protocol_image_1q,1,18,25.197229988407344,"[1, 296]",1.7253875732421875,1.841796875,1.7716760635375977,1.841796875,21.598876953125,23.984375,3572563968,3572563968,99,88.41666666666667,249000000,220291666.66666666,4228464640,4228449621.3333335,56000,55875
