run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,emotion,uncalibrated,2800,0.4,0.4666666666666667,39,0.43771632181768266,0.48717948717948717
seed-42,emotion,uncalibrated,2800,0.4666666666666667,0.5333333333333333,95,0.5054832701212256,0.4842105263157895
seed-42,emotion,uncalibrated,2800,0.5333333333333333,0.6,108,0.5660813276934439,0.5
seed-42,emotion,uncalibrated,2800,0.6,0.6666666666666666,106,0.6321691241776429,0.5471698113207547
seed-42,emotion,uncalibrated,2800,0.6666666666666666,0.7333333333333333,111,0.706150014382133,0.5765765765765766
seed-42,emotion,uncalibrated,2800,0.7333333333333333,0.8,126,0.7668304659149315,0.7063492063492064
seed-42,emotion,uncalibrated,2800,0.8,0.8666666666666667,160,0.8334049702014055,0.68125
seed-42,emotion,uncalibrated,2800,0.8666666666666667,0.9333333333333333,231,0.9031662520112359,0.8008658008658008
seed-42,emotion,uncalibrated,2800,0.9333333333333333,1.0,987,0.9810142520857167,0.916919959473151
seed-42,esci_es,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,esci_es,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,esci_es,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,esci_es,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,esci_es,uncalibrated,2800,0.26666666666666666,0.3333333333333333,20,0.31186397994226,0.15
seed-42,esci_es,uncalibrated,2800,0.3333333333333333,0.4,88,0.3709087647127628,0.22727272727272727
seed-42,esci_es,uncalibrated,2800,0.4,0.4666666666666667,218,0.43646405301998914,0.43577981651376146
seed-42,esci_es,uncalibrated,2800,0.4666666666666667,0.5333333333333333,259,0.5004074692098935,0.4749034749034749
seed-42,esci_es,uncalibrated,2800,0.5333333333333333,0.6,189,0.5658216350445329,0.5555555555555556
seed-42,esci_es,uncalibrated,2800,0.6,0.6666666666666666,156,0.6308983316511034,0.6666666666666666
seed-42,esci_es,uncalibrated,2800,0.6666666666666666,0.7333333333333333,151,0.6967414256529857,0.7152317880794702
seed-42,esci_es,uncalibrated,2800,0.7333333333333333,0.8,128,0.7638735141262505,0.8203125
seed-42,esci_es,uncalibrated,2800,0.8,0.8666666666666667,116,0.8332115629713681,0.7844827586206896
seed-42,esci_es,uncalibrated,2800,0.8666666666666667,0.9333333333333333,126,0.8987156899315122,0.8650793650793651
seed-42,esci_es,uncalibrated,2800,0.9333333333333333,1.0,31,0.9453054016905124,0.967741935483871
seed-42,esci_jp,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,esci_jp,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,esci_jp,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,esci_jp,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,esci_jp,uncalibrated,2800,0.26666666666666666,0.3333333333333333,14,0.3111050667346976,0.42857142857142855
seed-42,esci_jp,uncalibrated,2800,0.3333333333333333,0.4,90,0.37137643621546534,0.4222222222222222
seed-42,esci_jp,uncalibrated,2800,0.4,0.4666666666666667,195,0.43739473331337475,0.4307692307692308
seed-42,esci_jp,uncalibrated,2800,0.4666666666666667,0.5333333333333333,263,0.497652548253004,0.4524714828897338
seed-42,esci_jp,uncalibrated,2800,0.5333333333333333,0.6,214,0.5634100665016226,0.6214953271028038
seed-42,esci_jp,uncalibrated,2800,0.6,0.6666666666666666,194,0.6323676783116212,0.6804123711340206
seed-42,esci_jp,uncalibrated,2800,0.6666666666666666,0.7333333333333333,170,0.6992652282705859,0.7352941176470589
seed-42,esci_jp,uncalibrated,2800,0.7333333333333333,0.8,164,0.7678906182305112,0.7865853658536586
seed-42,esci_jp,uncalibrated,2800,0.8,0.8666666666666667,191,0.831687902434864,0.8272251308900523
seed-42,esci_jp,uncalibrated,2800,0.8666666666666667,0.9333333333333333,125,0.8923734275477583,0.856
seed-42,esci_jp,uncalibrated,2800,0.9333333333333333,1.0,13,0.9425286194353926,0.8461538461538461
seed-42,esci_us,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,esci_us,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,esci_us,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,esci_us,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,esci_us,uncalibrated,2800,0.26666666666666666,0.3333333333333333,10,0.31345160129305016,0.4
seed-42,esci_us,uncalibrated,2800,0.3333333333333333,0.4,46,0.3726540767113969,0.41304347826086957
seed-42,esci_us,uncalibrated,2800,0.4,0.4666666666666667,132,0.4386972533449447,0.4166666666666667
seed-42,esci_us,uncalibrated,2800,0.4666666666666667,0.5333333333333333,205,0.4981237310299092,0.45365853658536587
seed-42,esci_us,uncalibrated,2800,0.5333333333333333,0.6,191,0.5649949674055813,0.5392670157068062
seed-42,esci_us,uncalibrated,2800,0.6,0.6666666666666666,164,0.632269932388963,0.6158536585365854
seed-42,esci_us,uncalibrated,2800,0.6666666666666666,0.7333333333333333,147,0.6996004325803495,0.6394557823129252
seed-42,esci_us,uncalibrated,2800,0.7333333333333333,0.8,97,0.7676533771898782,0.6494845360824743
seed-42,esci_us,uncalibrated,2800,0.8,0.8666666666666667,87,0.8304938790963545,0.8850574712643678
seed-42,esci_us,uncalibrated,2800,0.8666666666666667,0.9333333333333333,56,0.895389090098086,0.7678571428571429
seed-42,esci_us,uncalibrated,2800,0.9333333333333333,1.0,10,0.941137141494982,0.8
seed-42,mail_phishing,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,mail_phishing,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,mail_phishing,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,mail_phishing,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,mail_phishing,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,mail_phishing,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,mail_phishing,uncalibrated,2800,0.4,0.4666666666666667,0,,
seed-42,mail_phishing,uncalibrated,2800,0.4666666666666667,0.5333333333333333,1,0.5290526352734031,0.0
seed-42,mail_phishing,uncalibrated,2800,0.5333333333333333,0.6,0,,
seed-42,mail_phishing,uncalibrated,2800,0.6,0.6666666666666666,0,,
seed-42,mail_phishing,uncalibrated,2800,0.6666666666666666,0.7333333333333333,1,0.7127964480141974,0.0
seed-42,mail_phishing,uncalibrated,2800,0.7333333333333333,0.8,0,,
seed-42,mail_phishing,uncalibrated,2800,0.8,0.8666666666666667,0,,
seed-42,mail_phishing,uncalibrated,2800,0.8666666666666667,0.9333333333333333,0,,
seed-42,mail_phishing,uncalibrated,2800,0.9333333333333333,1.0,1048,0.9999359995647653,0.9914122137404581
seed-42,mail_spam,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,mail_spam,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,mail_spam,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,mail_spam,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,mail_spam,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,mail_spam,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,mail_spam,uncalibrated,2800,0.4,0.4666666666666667,0,,
seed-42,mail_spam,uncalibrated,2800,0.4666666666666667,0.5333333333333333,0,,
seed-42,mail_spam,uncalibrated,2800,0.5333333333333333,0.6,0,,
seed-42,mail_spam,uncalibrated,2800,0.6,0.6666666666666666,0,,
seed-42,mail_spam,uncalibrated,2800,0.6666666666666666,0.7333333333333333,0,,
