run,step,dataset,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,1600,banking77,0.71875,0.71875,1.3069750621401033,0.4298887372106601,0.005582970613125456,1.0,256,0.6924635364635364,0.09256722701638673,,
seed-42,1600,boolq,0.85546875,0.85546875,0.5311238097898653,0.2315735416700172,0.1157867708350086,1.0,256,0.8393895718524799,0.09880001586088709,,
seed-42,1600,clevr_attribute,0.9921875,0.9921875,0.11860670893085185,0.01462351165458148,0.0034555434460955374,1.0,256,,0.007465852681284524,,
seed-42,1600,clevr_count,0.90234375,0.90234375,0.718484663793316,0.18485671476685966,0.016805155887896335,1.0,256,0.6479307367148636,0.09102225952934405,0.10177187725257258,0.009389661657850271
seed-42,1600,clevr_exist,0.98828125,0.98828125,0.294663456821956,0.02508389852385113,0.012541949261925565,1.0,256,0.9882595734923183,0.01345418008646463,,
seed-42,1600,contract_nli,0.8203125,0.8203125,0.513782433448095,0.278444544947959,0.09281484831598633,1.0,256,0.7320799068670661,0.09349588567148437,,
seed-42,1600,emotion,0.7734375,0.7734375,0.7427224692462443,0.3613569988411759,0.06022616647352932,1.0,256,0.6877278224887252,0.09334622564176022,,
seed-42,1600,esci_es,0.55859375,0.55859375,1.0159975871254,0.5517347670797325,0.13793369176993311,1.0,256,0.48684289616278764,0.09542073982412258,,
seed-42,1600,esci_jp,0.578125,0.578125,0.9864635298677967,0.5456079270347476,0.1364019817586869,1.0,256,0.49774982210386276,0.09681690670288581,,
seed-42,1600,esci_us,0.5078125,0.5078125,1.052689158087913,0.6018452591368335,0.15046131478420838,1.0,256,0.45806150776656773,0.10792526744905659,,
seed-42,1600,mail_phishing,0.9765625,0.9765625,0.30444326079292705,0.0413999776065044,0.0206999888032522,1.0,256,0.9765567765567765,0.022336382779963675,,
seed-42,1600,mail_spam,0.984375,0.984375,0.23426801958220536,0.031231832372757527,0.015615916186378764,1.0,256,0.982281284606866,0.015618384592285928,,
seed-42,1600,massive_en-US,0.80859375,0.80859375,0.9089994934221816,0.28266350984653765,0.0047110584974422946,1.0,256,0.7167084502360178,0.04260136720642885,,
seed-42,1600,massive_zh-CN,0.75390625,0.75390625,0.872456371550369,0.341423977899183,0.00569039963165305,1.0,256,0.7136834588456162,0.04475927165222554,,
seed-42,1600,scienceqa,0.91015625,0.91015625,0.45141618384706705,0.15793690768854146,0.0660459383663362,1.0,256,,0.07341595097584748,,
seed-42,1600,screenqa_choice,0.140625,0.140625,2.6928934489773084,0.9131155681998555,0.05295867758605487,1.0,256,,0.06207862428713368,,
seed-42,1600,screenqa_noul,0.64453125,0.64453125,0.6654295117763939,0.4622973221540637,0.23114866107703186,1.0,256,0.6429567642956764,0.07654075123611893,,
seed-42,1600,sharc,0.71875,0.71875,0.7010850001148419,0.3901344494005351,0.09753361235013377,1.0,256,0.7531051897098018,0.11949966055496165,,
seed-42,1600,sms_spam,0.984375,0.984375,0.21164448212091144,0.031129437872858053,0.015564718936429026,1.0,256,0.9642857142857143,0.015428037998320265,,
seed-42,1600,typed_decisions,0.734375,0.5728059962956352,0.983570611081182,0.11394770664027767,0.03628001491189557,1.0,256,,0.10864284183895286,0.26672713235185497,0.02660088478301166
seed-42,1600,vqav2_yesno,0.8515625,0.8061848958333333,0.4284288385338176,0.12225285559414939,0.061126427797074695,1.0,256,0.8509803921568628,0.037689519657142796,,
seed-42,1600,wikiqa,0.953125,0.953125,0.5364168278737624,0.0831709436514093,0.04158547182570465,1.0,256,0.7150278293135436,0.0432861481129471,,
seed-42,1600,xnli_en,0.859375,0.859375,0.44754019417298724,0.2339687015483471,0.07798956718278238,1.0,256,0.8575449327665128,0.087752643647486,,
seed-42,1600,xnli_zh,0.83203125,0.83203125,0.6079590777816021,0.2982952868074733,0.09943176226915774,1.0,256,0.8328667865613678,0.10944784602825919,,
seed-42,2000,ag_news,0.88671875,0.88671875,1.0826590332516401,0.19440273334477692,0.04860068333619423,1.0,256,0.8851496090043443,0.09531114705807436,,
seed-42,2000,aokvqa,0.82421875,0.82421875,0.5973341593437484,0.2526154236854418,0.06315385592136046,1.0,256,,0.08424638475444288,,
seed-42,2000,banking77,0.71484375,0.71484375,1.2130959830667996,0.41091212285240075,0.005336521076005204,1.0,256,0.6808300588300588,0.09643681310172449,,
seed-42,2000,boolq,0.8515625,0.8515625,0.5279100550825107,0.23164873488080895,0.11582436744040447,1.0,256,0.836372199421382,0.0937468126647969,,
seed-42,2000,clevr_attribute,0.99609375,0.99609375,0.10846470887801557,0.00792941931718566,0.0026187825235907307,1.0,256,,0.004362052154134212,,
seed-42,2000,clevr_count,0.890625,0.890625,0.8876931605637441,0.19793263783966025,0.01799387616724184,1.0,256,0.8408967017835615,0.09846763625820654,0.11001813802230245,0.010026355478294726
seed-42,2000,clevr_exist,0.9921875,0.9921875,0.21587340204173666,0.015625018707874246,0.007812509353937123,1.0,256,0.9921702960606802,0.007806455108254173,,
seed-42,2000,contract_nli,0.796875,0.796875,0.6525701804366937,0.30487840335880384,0.10162613445293461,1.0,256,0.7116958235109921,0.1299711505670359,,
seed-42,2000,emotion,0.765625,0.765625,0.7931861480399534,0.357367217713389,0.059561202952231496,1.0,256,0.6874012455223815,0.11272845075652682,,
seed-42,2000,esci_es,0.578125,0.578125,1.0139508148413423,0.5419079332397257,0.13547698330993144,1.0,256,0.5248056430776531,0.12139534494888311,,
seed-42,2000,esci_jp,0.57421875,0.57421875,0.9825638958214067,0.5428600317282847,0.13571500793207117,1.0,256,0.4795632793344464,0.13055563664138056,,
seed-42,2000,esci_us,0.53515625,0.53515625,1.0615250894045143,0.6043216781364409,0.15108041953411022,1.0,256,0.5140720357858343,0.13993196592089965,,
seed-42,2000,mail_phishing,0.984375,0.984375,0.26702312968615094,0.031238565530273012,0.015619282765136506,1.0,256,0.9843664122137404,0.015619581186851583,,
seed-42,2000,mail_spam,0.984375,0.984375,0.23277613427276062,0.031042746368988797,0.015521373184494399,1.0,256,0.982281284606866,0.015572826015523011,,
seed-42,2000,massive_en-US,0.80859375,0.80859375,0.8196826141673548,0.27589276633304394,0.0045982127722173985,1.0,256,0.7200821334585512,0.0750233570413531,,
seed-42,2000,massive_zh-CN,0.76953125,0.76953125,0.8598359849403754,0.3354498971856561,0.0055908316197609345,1.0,256,0.703146072275757,0.09602559795540314,,
seed-42,2000,scienceqa,0.93359375,0.93359375,0.4262428087329486,0.11883843460198182,0.04829164233658338,1.0,256,,0.05168943262724493,,
seed-42,2000,screenqa_choice,0.21875,0.21875,2.533512184641415,0.8743119456710009,0.04959971406949684,1.0,256,,0.1102030297819125,,
seed-42,2000,screenqa_noul,0.69140625,0.69140625,0.6781065465855096,0.44084290978452984,0.22042145489226492,1.0,256,0.6906084109718972,0.10525401236891686,,
seed-42,2000,sharc,0.7421875,0.7421875,0.680508239099314,0.37812750362505987,0.09453187590626497,1.0,256,0.7722974208764246,0.11191951248720519,,
seed-42,2000,sms_spam,0.98828125,0.98828125,0.17775668713822707,0.02261350292326786,0.01130675146163393,1.0,256,0.9720838937152412,0.01141646501478133,,
seed-42,2000,typed_decisions,0.71875,0.565162757128963,0.9736619940413505,0.10854924612618827,0.03447419261783551,1.0,256,,0.09024821570370524,0.273338972513873,0.027897874786592645
seed-42,2000,vqav2_yesno,0.86328125,0.8155598958333334,0.41941265711321213,0.11935272287309852,0.05967636143654926,1.0,256,0.8630283574103799,0.05581659344366471,,
seed-42,2000,wikiqa,0.96484375,0.96484375,0.3559146102880345,0.06976518214416398,0.03488259107208199,1.0,256,0.8355108160205611,0.0356656022095454,,
seed-42,2000,xnli_en,0.84765625,0.84765625,0.5221464162168782,0.2524896627179853,0.0841632209059951,1.0,256,0.8477336141161101,0.0922945779998503,,
seed-42,2000,xnli_zh,0.82421875,0.82421875,0.6569097182865182,0.29911660934691575,0.09970553644897193,1.0,256,0.8263448808718974,0.11763734431736637,,
seed-42,2400,ag_news,0.89453125,0.89453125,1.2397174516292253,0.19680841783552017,0.04920210445888004,1.0,256,0.8932500928181027,0.10463527782392691,,
seed-42,2400,aokvqa,0.83984375,0.83984375,0.5567977759338858,0.2441437257033294,0.06103593142583235,1.0,256,,0.0777085437505293,,
seed-42,2400,banking77,0.703125,0.703125,1.2950590800876118,0.4217797602812088,0.005477659224431284,1.0,256,0.672974580974581,0.1387225599672512,,
seed-42,2400,boolq,0.86328125,0.86328125,0.4340676504534149,0.21882745675984389,0.10941372837992194,1.0,256,0.8496820843189559,0.07142660388011901,,
seed-42,2400,clevr_attribute,0.9921875,0.9921875,0.11872517276706894,0.01466194570003349,0.0035050909660417576,1.0,256,,0.007702045073173893,,
seed-42,2400,clevr_count,0.8984375,0.8984375,0.6501975894878469,0.173768037652173,0.015797094332015725,1.0,256,0.8507537241966492,0.07939058249680148,0.1039233082516619,0.008790765828838643
seed-42,2400,clevr_exist,0.9921875,0.9921875,0.2158969085875848,0.015625443727646363,0.007812721863823181,1.0,256,0.9921702960606802,0.007783055373038472,,
seed-42,2400,contract_nli,0.828125,0.828125,0.5945688186252662,0.27969320243760337,0.09323106747920112,1.0,256,0.7330049289615587,0.1063620119606454,,
seed-42,2400,emotion,0.76953125,0.76953125,0.6749775204996341,0.3359804254514862,0.0559967375752477,1.0,256,0.6883948464303361,0.07525829620170615,,
seed-42,2400,esci_es,0.5859375,0.5859375,0.9777566385513814,0.5311622786401922,0.13279056966004804,1.0,256,0.5375093721148824,0.08398951211346764,,
seed-42,2400,esci_jp,0.58203125,0.58203125,0.9322914261333148,0.5255155791184627,0.13137889477961567,1.0,256,0.4905909028914348,0.08942056001687006,,
seed-42,2400,esci_us,0.53125,0.53125,1.0052848235964493,0.5802693805813596,0.1450673451453399,1.0,256,0.5176460918019826,0.07642785667617949,,
seed-42,2400,mail_phishing,0.984375,0.984375,0.300128996473442,0.031251288391844476,0.015625644195922238,1.0,256,0.9843664122137404,0.015562565225226033,,
seed-42,2400,mail_spam,0.984375,0.984375,0.2393263864233117,0.030328362780296002,0.015164181390148001,1.0,256,0.982281284606866,0.015387357921935685,,
seed-42,2400,massive_en-US,0.82421875,0.82421875,0.9077605594289078,0.2667214022967872,0.004445356704946453,1.0,256,0.7521904470175482,0.08263245223445567,,
seed-42,2400,massive_zh-CN,0.8125,0.8125,0.9099707615232764,0.31338407834627124,0.005223067972437854,1.0,256,0.7816073783394043,0.09549385913815031,,
seed-42,2400,scienceqa,0.93359375,0.93359375,0.41893814142396985,0.12165316023272102,0.0488884589760951,1.0,256,,0.057542571165301315,,
seed-42,2400,screenqa_choice,0.2109375,0.2109375,2.4845802859602886,0.8690892807027297,0.04941120526399794,1.0,256,,0.07486787979410404,,
seed-42,2400,screenqa_noul,0.67578125,0.67578125,0.6397937918807017,0.4314308008483936,0.2157154004241968,1.0,256,0.6757367192149801,0.09539482519814134,,
seed-42,2400,sharc,0.73828125,0.73828125,0.6440698720914098,0.3690561789796971,0.09226404474492428,1.0,256,0.7691972005768575,0.09572299288903838,,
