run,dataset,calibration,selected_step,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,massive_en-US,calibrated,2800,0.7888888888888889,0.7888888888888889,0.7943768719883431,0.32104376429257114,0.005350729404876186,1.0,2970,0.7133757785209848,0.11413431227617038,,
seed-42,massive_zh-CN,calibrated,2800,0.7682300581992468,0.7682300581992468,0.8551611548756887,0.34666341489224156,0.00577772358153736,1.0,2921,0.6991569876683565,0.0903712860160561,,
seed-42,scienceqa,calibrated,2800,0.9266236985622212,0.9266236985622212,0.20490149069498897,0.10785927821008684,0.043859665554441964,1.0,2017,,0.034237015327459944,,
seed-42,screenqa_choice,calibrated,2800,0.2205188679245283,0.2205188679245283,2.427716192945396,0.867871230296767,0.051373306525056006,1.0,848,,0.06027762422198007,,
seed-42,screenqa_noul,calibrated,2800,0.723463687150838,0.723463687150838,0.611590096349568,0.42040212813119726,0.21020106406559863,1.0,2148,0.7234231648641689,0.12879441344389894,,
seed-42,sharc,calibrated,2800,0.7318753020782987,0.7318753020782987,0.669961652219753,0.37270180916646645,0.09317545229161661,1.0,8276,0.7705192712432385,0.05474858849670725,,
seed-42,sms_spam,calibrated,2800,0.9937027707808564,0.9937027707808564,0.03187632077484014,0.012015596376519241,0.0060077981882596205,1.0,794,0.9875139563774749,0.0060823102062485266,,
seed-42,typed_decisions,calibrated,2800,0.7305,0.5887607963042135,0.994373517196225,0.11602703899706215,0.03465161374725173,1.0,2000,,0.27503022118494314,0.5251317604344771,0.05236129829749296
seed-42,vqav2_yesno,calibrated,2800,0.8588002962231548,0.8230884594436805,0.4835396281260911,0.17052815631362805,0.08526407815681403,1.0,8102,0.858430650708784,0.19200366460973453,,
seed-42,wikiqa,calibrated,2800,0.9616883116883117,0.9616883116883117,0.17099199777074955,0.07002480785908781,0.035012403929543905,1.0,6160,0.7357368886406999,0.03221017986898737,,
seed-42,xnli_en,calibrated,2800,0.872030345378319,0.872030345378319,0.3727024908090792,0.1975914596437165,0.06586381988123884,1.0,5009,0.8720166067880751,0.06011105159472352,,
seed-42,xnli_zh,calibrated,2800,0.7819924136554203,0.7819924136554203,0.5581944351237972,0.3113517647133523,0.10378392157111745,1.0,5009,0.7827065653679757,0.029704077557310554,,
