unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1790304699.04505,22571909120,0,60860000,46000,15284183040
1790304700.0457518,22571909120,0,82268000,44000,15284178944
1790304701.046353,22571909120,0,115278000,44000,15284215808
1790304702.046892,22574006272,16,152722000,45000,15284187136
1790304703.0475466,22574006272,59,128476000,44000,15284248576
1790304704.0481682,22574006272,0,152344000,53000,15284260864
1790304705.048751,22574006272,80,128933000,44000,15286349824
1790304706.0493248,22574006272,0,131804000,45000,15286349824
1790304707.0501819,22574006272,0,122224000,45000,15292686336
1790304708.050921,22574006272,0,93747000,44000,15292694528
1790304709.0516315,22574006272,0,102284000,49000,15292698624
1790304710.0525157,22574006272,0,124816000,44000,15292674048
1790304711.0540483,22574006272,100,280054000,55000,15292678144
1790304712.0547862,22574006272,95,273218000,49000,15292682240
1790304713.055368,22574006272,100,318689000,56000,15292686336
1790304714.0561152,22574006272,100,362778000,56000,15292686336
1790304715.0567434,22574006272,100,373563000,58000,15292710912
1790304716.05802,22574006272,53,125459000,51000,15292702720
1790304717.0589118,22574006272,8,258890000,49000,15292715008
1790304718.0598047,22574006272,99,156262000,56000,15292715008
1790304719.0607018,22574006272,0,165024000,46000,15295156224
1790304720.061679,22574006272,0,85000000,45000,15296987136
1790304721.0625627,22574006272,0,99685000,45000,15303045120
1790304722.089112,22574006272,0,84710000,45000,15303045120
1790304723.0900168,22574006272,0,64887000,44000,15303045120
1790304724.090781,22574006272,0,59608000,44000,15322759168
1790304725.0914965,22574006272,0,55272000,43000,15322759168
1790304726.0922303,22574006272,0,70998000,44000,15322763264
1790304727.0930293,22574006272,71,94367000,47000,15322746880
1790304728.0937157,22574006272,100,345541000,57000,15322755072
1790304729.094782,22574006272,100,383929000,57000,15322755072
1790304730.095565,22574006272,100,388314000,58000,15322759168
1790304731.09663,22574006272,0,316274000,47000,15322759168
1790304732.0981894,22574006272,68,231643000,57000,15322771456
1790304733.0990763,22574006272,100,324923000,59000,15322771456
1790304734.1000218,22574006272,0,321774000,50000,15322771456
1790304735.1008415,22574006272,0,246572000,48000,15322816512
1790304736.1019945,22574006272,0,86430000,47000,15322816512
1790304737.1033225,22574006272,0,101877000,46000,15332474880
1790304738.1040437,22574006272,0,85927000,46000,15332474880
1790304739.104709,22574006272,0,68278000,45000,15332474880
1790304740.105388,22574006272,0,61859000,45000,15342129152
1790304741.1060789,22574006272,0,55187000,44000,15342129152
1790304742.106698,22574006272,0,66644000,44000,15342133248
1790304743.107362,22574006272,45,80251000,47000,15342137344
1790304744.1079416,22574006272,0,139667000,45000,15342137344
1790304745.1085417,22574006272,87,171033000,47000,15342190592
1790304746.1267064,22574006272,25,128634000,53000,15342186496
1790304747.127479,22574006272,15,167814000,46000,15343943680
1790304748.1283038,22574006272,0,104033000,45000,15343947776
1790304749.1292229,22574006272,0,129563000,45000,15343910912
1790304750.129988,22574006272,0,94877000,44000,15351635968
1790304751.1306038,22574006272,0,105246000,44000,15351648256
1790304752.131469,22574006272,0,83594000,44000,15351599104
1790304753.1326835,22574006272,100,205053000,55000,15351611392
1790304754.2394476,22574006272,85,361099000,52000,15351627776
1790304755.297827,22574006272,100,325025000,58000,15351627776
1790304756.2991796,22574006272,0,342334000,48000,15351635968
1790304757.2999868,22574006272,23,270453000,51000,15351640064
1790304758.3010194,22574006272,0,209568000,48000,15351648256
1790304759.3018486,22574006272,5,293129000,48000,15351689216
1790304760.3028576,22574006272,49,149805000,53000,15351664640
1790304761.645565,22574006272,76,216752000,47000,15351664640
1790304762.6466098,22574006272,100,282651000,59000,15351664640
1790304763.672181,22574006272,0,271690000,59000,15351681024
1790304764.673239,22574006272,0,146728000,47000,15352442880
1790304765.6740084,22574006272,0,83510000,46000,15352406016
1790304766.6748593,22574006272,72,90039000,46000,15372746752
1790304767.6756036,22574006272,0,83402000,46000,15372746752
1790304768.6763783,22574006272,0,64214000,45000,15372746752
1790304769.6771622,22574006272,0,59198000,44000,15372947456
1790304770.6780305,22574006272,0,55096000,44000,15372947456
1790304771.6789706,22576103424,0,68296000,44000,15372947456
1790304772.6798067,22576103424,0,84007000,45000,15372951552
1790304773.6806676,22576103424,100,262895000,57000,15372918784
1790304774.6816177,22576103424,99,279506000,56000,15372918784
1790304775.700727,22576103424,100,319118000,55000,15372935168
1790304776.7017782,22576103424,0,174320000,56000,15372931072
1790304777.7025337,22576103424,100,372078000,53000,15372931072
1790304778.7034454,22576103424,100,335514000,57000,15372931072
1790304779.7043123,22576103424,100,343960000,50000,15372972032
1790304780.705499,22576103424,100,199167000,48000,15372943360
1790304781.7066684,22576103424,28,201249000,56000,15375044608
1790304782.7075255,22576103424,100,371105000,60000,15375048704
1790304783.7084167,22576103424,99,266360000,57000,15375081472
1790304784.7095559,22576103424,100,308177000,52000,15375081472
1790304785.7107275,22576103424,28,148282000,48000,15375126528
1790304786.711316,22576103424,100,193887000,48000,15376584704
1790304787.7119613,22576103424,0,85414000,47000,15376547840
1790304788.7128313,22576103424,0,100289000,47000,15397322752
1790304789.7134562,22576103424,0,85276000,47000,15397322752
1790304790.7140777,22576103424,0,68370000,46000,15397322752
1790304791.7147355,22576103424,0,62067000,45000,15397892096
1790304792.7154052,22576103424,0,55383000,45000,15397892096
1790304793.7163162,22576103424,0,70353000,45000,15397892096
1790304794.7169502,22576103424,0,85150000,46000,15397896192
1790304795.7178102,22576103424,99,245017000,57000,15397863424
1790304796.7186663,22576103424,100,308660000,47000,15397875712
1790304797.7194374,22576103424,100,315967000,57000,15397875712
1790304798.7203872,22576103424,100,288139000,58000,15397875712
1790304799.7212472,22576103424,26,213076000,47000,15397883904
1790304800.7221131,22576103424,88,291263000,51000,15397920768
1790304801.7228937,22576103424,100,299234000,52000,15397892096
1790304802.7234838,22576103424,100,290465000,52000,15397949440
1790304803.724036,22576103424,0,124980000,57000,15397974016
1790304804.737188,22576103424,100,374141000,61000,15397978112
1790304805.7378545,22576103424,0,167516000,49000,15398002688
1790304806.7385664,22576103424,0,109599000,50000,15399759872
1790304807.739407,22576103424,63,117865000,47000,15412301824
1790304808.7402546,22576103424,0,85927000,47000,15414972416
1790304809.7409108,22576103424,0,75007000,46000,15414976512
1790304810.741844,22576103424,0,99761000,48000,15414980608
1790304811.7426765,22576103424,100,216539000,47000,15416819712
1790304812.7434328,22576103424,0,87522000,46000,15416815616
1790304813.7441242,22576103424,80,100622000,46000,15426920448
1790304814.7445788,22576103424,0,85256000,46000,15426920448
1790304815.7450833,22576103424,0,67927000,45000,15426920448
1790304816.7457674,22576103424,0,61241000,44000,15425662976
1790304817.7464178,22576103424,0,54700000,44000,15425662976
1790304818.7469409,22576103424,100,66264000,44000,15425814528
